0|Palomitas medianas|80|50|"/uam/mx/interfaces/imagenesComida/palomitasMedianas.png"|"/uam/mx/interfaces/imagenesComida/palomitasMedianas_2.png"
1|Palomitas grandes|100|80|"/uam/mx/interfaces/imagenesComida/palomitasGrandes.png"|"/uam/mx//interfaces/imagenesComida/palomitasGrandes_2.png"
2|Nachos con queso|90|40|"/uam/mx/interfaces/imagenesComida/nachos.png"|"/uam/mx/interfaces/imagenesComida/nachos_2.png"
3|Hot dog|70|30|"/uam/mx/interfaces/imagenesComida/hotdog.png"|"/uam/mx/interfaces/imagenesComida/hotdog_2.png"
4|Refresco mediano|30|60|"/uam/mx/interfaces/imagenesComida/refrescoMediano.png"|"/uam/mx/interfaces/imagenesComida/refrescoMediano_2.png"
5|Refresco grande|40|50|"/uam/mx/interfaces/imagenesComida/refrescoGrande.png"|"/uam/mx/interfaces/imagenesComida/refrescoGrande_2.png"
6|Chocolate|20|100|"/uam/mx/interfaces/imagenesComida/chocolate.png"|"/uam/mx/interfaces/imagenesComida/chocolate_2.png"
7|Gomitas|40|200|"/uam/mx/interfaces/imagenesComida/gomitas.png"|"/uam/mx/interfaces/imagenesComida/gomitas_2.png"
8|Pizza individual|90|20|"/uam/mx/interfaces/imagenesComida/pizza.png"|"/uam/mx/interfaces/imagenesComida/pizza_2.png"
9|Paleta de Hielo|40|25|"/uam/mx/interfaces/imagenesComida/paletaHielo.png"|"/uam/mx/interfaces/imagenesComida/paletaHielo_2.png"
