3930.0
0,0,2024-09-26T15:45:02.213035145,150.0,false,0|1|0,1|1|2,2|1|3
1,0,2024-09-26T15:45:52.772038124,150.0,false,0|1|0,1|1|2,2|1|3
2,0,2024-09-26T15:46:43.779037725,150.0,false,0|1|3,1|1|5,2|1|4
3,0,2024-09-26T15:48:47.139992080,0.0,false,0|1|8,1|1|11
4,0,2024-09-26T15:50:14.731704204,150.0,false,0|2|0,1|2|2
5,0,2024-09-26T15:58:46.506055444,0.0,true,0|1|6
6,0,2024-09-27T00:57:03.029775500,250.0,true,0|1|13,1|1|14,2|1|1,3|1|0,4|1|5
7,0,2024-09-27T00:58:22.633268800,0.0,false,0|1|6,1|1|4
8,0,2024-09-27T01:01:52.999233800,100.0,true,0|1|9,1|1|10
9,0,2024-09-27T01:04:27.851792700,100.0,false,0|1|9,1|1|10
10,0,2024-09-27T01:04:52.343538600,100.0,false,0|1|7,1|1|8
11,0,2024-09-27T01:11:20.183915300,150.0,false,0|1|2,1|1|3
12,0,2024-09-27T10:01:35.810334900,150.0,false,0|1|2,1|1|4
13,0,2024-09-27T18:17:24.858380400,100.0,true,0|1|1,1|1|0
14,0,2024-09-28T13:05:39.788632500,150.0,false,0|1|1,1|1|5
15,0,2024-09-28T13:07:51.128452300,150.0,true,0|1|9,1|1|19
16,0,2024-09-28T13:11:43.397102600,100.0,false,0|1|1,1|1|3
17,0,2024-09-28T19:29:19.143920900,100.0,true,0|3|2,1|3|5
18,0,2024-09-29T18:02:54.886262,225.0,false,0|3|0,1|3|3,2|3|2
19,0,2024-09-29T18:03:19.662353700,150.0,false,0|3|1
20,0,2024-09-29T18:16:29.393939300,105.0,true,0|1|3,1|1|4
21,0,2024-09-30T01:43:38.952409900,225.0,false,0|1|0,1|1|1,2|1|3
22,0,2024-09-30T02:11:38.089556300,150.0,false,0|2|3,1|2|4
23,0,2024-09-30T02:12:14.746156600,225.0,false,0|1|2,1|1|4,2|1|5
24,0,2024-09-30T02:15:01.212625500,225.0,false,0|1|6,1|1|7,2|1|8
25,0,2024-09-30T02:17:55.798066100,225.0,false,0|1|8,1|1|9,2|1|10
26,0,2024-09-30T02:18:54.208254800,150.0,false,0|1|9,1|1|10
